frame_number,Time,avg_u,avg_v
124,4.133016260162601,-0.048,-0.011,2644
125,4.166347036454235,-0.049,-0.012,2665
126,4.199677812745869,-0.05,-0.012,2685
127,4.233008589037503,-0.05,-0.012,2706
128,4.266339365329137,-0.05,-0.012,2726
129,4.299670141620771,-0.051,-0.012,2745
130,4.333000917912405,-0.066,-0.01,2765
131,4.366331694204039,-0.066,-0.01,2787
132,4.399662470495673,-0.066,-0.009,2808
133,4.432993246787307,-0.066,-0.008,2831
134,4.46632402307894,-0.066,-0.008,2853
135,4.499654799370574,-0.066,-0.007,2874
136,4.532985575662208,-0.067,-0.006,2896
137,4.566316351953842,-0.067,-0.006,2917
138,4.599647128245476,-0.067,-0.005,2936
139,4.63297790453711,-0.067,-0.004,2958
140,4.6663086808287435,-0.068,-0.004,2982
141,4.6996394571203775,-0.069,-0.004,3005
142,4.732970233412011,-0.069,-0.003,3027
143,4.766301009703645,-0.068,-0.002,3050
144,4.799631785995279,-0.068,-0.001,3073
145,4.832962562286913,-0.068,-0.001,3096
146,4.866293338578547,-0.068,-0.001,3120
147,4.899624114870181,-0.067,0.0,3142
148,4.932954891161814,-0.067,0.0,3164
149,4.966285667453448,-0.067,-0.001,3181
150,4.999616443745082,-0.068,-0.001,3197
151,5.032947220036716,-0.068,-0.002,3215
152,5.06627799632835,-0.068,-0.002,3235
153,5.099608772619984,-0.068,-0.002,3253
154,5.132939548911618,-0.068,-0.002,3271
155,5.166270325203252,-0.068,-0.002,3289
156,5.199601101494886,-0.068,-0.003,3309
157,5.23293187778652,-0.068,-0.003,3329
158,5.266262654078154,-0.069,-0.004,3349
159,5.299593430369788,-0.069,-0.004,3367
160,5.3329242066614215,-0.069,-0.005,3387
161,5.3662549829530555,-0.07,-0.005,3408
162,5.3995857592446885,-0.07,-0.007,3428
163,5.4329165355363225,-0.07,-0.008,3447
164,5.466247311827956,-0.07,-0.008,3463
165,5.49957808811959,-0.07,-0.009,3482
166,5.532908864411224,-0.071,-0.01,3501
167,5.566239640702858,-0.071,-0.009,3518
168,5.599570416994492,-0.072,-0.009,3538
169,5.632901193286126,-0.072,-0.009,3556
170,5.66623196957776,-0.073,-0.009,3575
171,5.699562745869394,-0.073,-0.009,3593
172,5.732893522161028,-0.074,-0.009,3613
173,5.766224298452662,-0.074,-0.009,3633
174,5.799555074744296,-0.074,-0.01,3655
175,5.83288585103593,-0.074,-0.01,3676
176,5.866216627327563,-0.074,-0.01,3697
177,5.899547403619197,-0.074,-0.01,3717
178,5.932878179910831,-0.075,-0.01,3738
179,5.966208956202465,-0.075,-0.011,3757
180,5.999539732494099,-0.076,-0.011,3775
181,6.032870508785733,-0.077,-0.012,3793
182,6.066201285077367,-0.078,-0.012,3811
183,6.0995320613690005,-0.079,-0.013,3829
184,6.1328628376606344,-0.08,-0.013,3847
185,6.166193613952268,-0.08,-0.014,3866
186,6.199524390243902,-0.081,-0.014,3884
187,6.232855166535536,-0.082,-0.015,3903
188,6.26618594282717,-0.082,-0.016,3922
189,6.299516719118804,-0.083,-0.017,3940
190,6.332847495410437,-0.084,-0.017,3958
191,6.366178271702071,-0.084,-0.018,3975
192,6.399509047993705,-0.085,-0.019,3992
193,6.432839824285339,-0.086,-0.02,4011
194,6.466170600576973,-0.086,-0.021,4030
195,6.499501376868607,-0.086,-0.022,4050
196,6.532832153160241,-0.087,-0.023,4070
197,6.566162929451875,-0.088,-0.023,4088
198,6.599493705743509,-0.088,-0.024,4108
199,6.632824482035143,-0.089,-0.025,4127
200,6.666155258326777,-0.089,-0.026,4146
201,6.699486034618411,-0.09,-0.026,4163
202,6.732816810910045,-0.09,-0.027,4181
203,6.7661475872016785,-0.091,-0.027,4199
204,6.799478363493312,-0.091,-0.028,4217
205,6.8328091397849455,-0.092,-0.029,4236
206,6.8661399160765795,-0.092,-0.029,4255
207,6.899470692368213,-0.092,-0.03,4273
208,6.932801468659847,-0.093,-0.031,4293
209,6.966132244951481,-0.093,-0.032,4313
210,6.999463021243115,-0.093,-0.032,4333
211,7.032793797534749,-0.094,-0.033,4354
212,7.066124573826383,-0.094,-0.034,4375
213,7.099455350118017,-0.095,-0.034,4395
214,7.132786126409651,-0.095,-0.035,4415
215,7.166116902701285,-0.095,-0.035,4435
216,7.199447678992919,-0.096,-0.036,4455
217,7.232778455284553,-0.096,-0.037,4476
218,7.266109231576186,-0.097,-0.037,4497
219,7.29944000786782,-0.097,-0.038,4518
220,7.332770784159454,-0.098,-0.038,4539
221,7.366101560451088,-0.098,-0.039,4559
222,7.399432336742722,-0.099,-0.039,4579
223,7.432763113034356,-0.1,-0.039,4598
224,7.46609388932599,-0.1,-0.04,4617
225,7.4994246656176236,-0.101,-0.041,4636
226,7.5327554419092575,-0.101,-0.041,4655
227,7.5660862182008914,-0.102,-0.042,4674
228,7.599416994492525,-0.102,-0.043,4692
229,7.632747770784159,-0.103,-0.043,4710
230,7.666078547075793,-0.103,-0.044,4731
231,7.699409323367427,-0.103,-0.046,4753
232,7.73274009965906,-0.104,-0.047,4774
233,7.766070875950694,-0.104,-0.048,4795
234,7.799401652242328,-0.105,-0.049,4814
235,7.832732428533962,-0.105,-0.05,4835
236,7.866063204825596,-0.105,-0.051,4856
237,7.89939398111723,-0.105,-0.053,4877
238,7.932724757408864,-0.105,-0.053,4899
239,7.966055533700498,-0.106,-0.054,4918
240,7.999386309992132,-0.107,-0.055,4937
241,8.032717086283766,-0.107,-0.056,4953
242,8.066047862575399,-0.107,-0.057,4969
243,8.099378638867034,-0.108,-0.057,4985
244,8.132709415158667,-0.109,-0.058,5004
245,8.166040191450302,-0.109,-0.059,5021
246,8.199370967741935,-0.11,-0.059,5039
247,8.23270174403357,-0.111,-0.061,5059
248,8.266032520325203,-0.112,-0.062,5078
249,8.299363296616837,-0.114,-0.062,5096
250,8.33269407290847,-0.116,-0.063,5117
251,8.366024849200105,-0.119,-0.064,5139
252,8.399355625491738,-0.121,-0.066,5161
253,8.432686401783371,-0.124,-0.067,5183
254,8.466017178075006,-0.125,-0.068,5205
255,8.49934795436664,-0.127,-0.069,5224
256,8.532678730658274,-0.129,-0.07,5243
257,8.566009506949907,-0.13,-0.071,5263
258,8.599340283241542,-0.132,-0.072,5284
259,8.632671059533175,-0.133,-0.073,5305
260,8.66600183582481,-0.135,-0.074,5326
261,8.699332612116443,-0.137,-0.076,5347
262,8.732663388408078,-0.139,-0.077,5368
263,8.76599416469971,-0.141,-0.078,5389
264,8.799324940991346,-0.143,-0.079,5410
265,8.832655717282979,-0.144,-0.08,5428
266,8.865986493574614,-0.145,-0.081,5447
267,8.899317269866247,-0.145,-0.082,5463
268,8.93264804615788,-0.146,-0.083,5480
269,8.965978822449514,-0.148,-0.083,5499
270,8.999309598741148,-0.149,-0.084,5516
271,9.032640375032782,-0.15,-0.085,5535
272,9.065971151324415,-0.151,-0.086,5552
273,9.09930192761605,-0.152,-0.086,5571
274,9.132632703907683,-0.153,-0.087,5591
275,9.165963480199318,-0.154,-0.087,5611
276,9.199294256490951,-0.155,-0.088,5629
277,9.232625032782586,-0.156,-0.088,5650
278,9.26595580907422,-0.156,-0.088,5671
279,9.299286585365854,-0.157,-0.089,5692
280,9.332617361657487,-0.157,-0.09,5712
281,9.36594813794912,-0.158,-0.09,5734
282,9.399278914240755,-0.159,-0.091,5756
283,9.432609690532388,-0.16,-0.092,5776
284,9.465940466824023,-0.162,-0.092,5796
285,9.499271243115656,-0.164,-0.093,5815
286,9.53260201940729,-0.165,-0.093,5834
287,9.565932795698924,-0.167,-0.094,5855
288,9.599263571990559,-0.169,-0.095,5874
289,9.632594348282192,-0.17,-0.095,5896
290,9.665925124573826,-0.172,-0.096,5917
291,9.69925590086546,-0.173,-0.096,5939
292,9.732586677157094,-0.174,-0.097,5959
293,9.765917453448727,-0.176,-0.097,5978
294,9.799248229740362,-0.177,-0.098,5997
295,9.832579006031995,-0.179,-0.098,6016
296,9.865909782323628,-0.18,-0.099,6035
297,9.899240558615263,-0.182,-0.099,6055
298,9.932571334906896,-0.183,-0.099,6075
299,9.965902111198531,-0.185,-0.1,6095
300,9.999232887490164,-0.187,-0.101,6116
301,10.032563663781799,-0.188,-0.102,6137
302,10.065894440073432,-0.19,-0.103,6158
303,10.099225216365067,-0.192,-0.105,6181
304,10.1325559926567,-0.195,-0.106,6202
305,10.165886768948335,-0.197,-0.107,6224
306,10.199217545239968,-0.199,-0.108,6245
307,10.232548321531603,-0.201,-0.109,6268
308,10.265879097823236,-0.203,-0.11,6287
309,10.299209874114869,-0.204,-0.111,6305
310,10.332540650406504,-0.206,-0.112,6323
311,10.365871426698137,-0.206,-0.113,6342
312,10.399202202989771,-0.207,-0.114,6360
313,10.432532979281405,-0.208,-0.115,6378
314,10.46586375557304,-0.209,-0.116,6395
315,10.499194531864672,-0.21,-0.117,6415
316,10.532525308156307,-0.211,-0.118,6435
317,10.56585608444794,-0.212,-0.119,6452
318,10.599186860739575,-0.212,-0.12,6469
319,10.632517637031208,-0.213,-0.121,6485
320,10.665848413322843,-0.214,-0.122,6504
321,10.699179189614476,-0.214,-0.123,6521
322,10.732509965906111,-0.215,-0.124,6538
323,10.765840742197744,-0.215,-0.125,6558
324,10.799171518489377,-0.215,-0.127,6578
325,10.832502294781012,-0.216,-0.128,6598
326,10.865833071072645,-0.216,-0.129,6617
327,10.89916384736428,-0.217,-0.13,6637
328,10.932494623655913,-0.217,-0.131,6657
329,10.965825399947548,-0.218,-0.131,6678
330,10.99915617623918,-0.219,-0.132,6697
331,11.032486952530816,-0.22,-0.133,6716
332,11.065817728822449,-0.221,-0.133,6734
333,11.099148505114083,-0.222,-0.134,6753
334,11.132479281405717,-0.223,-0.135,6773
335,11.165810057697351,-0.224,-0.135,6793
336,11.199140833988984,-0.225,-0.136,6813
337,11.232471610280617,-0.226,-0.137,6835
338,11.265802386572252,-0.226,-0.137,6853
339,11.299133162863885,-0.227,-0.138,6872
340,11.33246393915552,-0.228,-0.139,6892
341,11.365794715447153,-0.229,-0.14,6911
342,11.399125491738788,-0.23,-0.14,6928
343,11.432456268030421,-0.23,-0.141,6946
344,11.465787044322056,-0.231,-0.142,6964
345,11.499117820613689,-0.232,-0.143,6982
346,11.532448596905324,-0.233,-0.143,7002
347,11.565779373196957,-0.235,-0.144,7020
348,11.599110149488592,-0.236,-0.145,7040
349,11.632440925780225,-0.237,-0.146,7060
350,11.66577170207186,-0.239,-0.147,7081
351,11.699102478363493,-0.241,-0.148,7102
352,11.732433254655126,-0.242,-0.149,7121
353,11.76576403094676,-0.243,-0.15,7141
354,11.799094807238394,-0.245,-0.151,7163
355,11.832425583530028,-0.247,-0.152,7185
356,11.865756359821662,-0.249,-0.152,7206
357,11.899087136113296,-0.25,-0.153,7223
358,11.93241791240493,-0.251,-0.154,7241
359,11.965748688696564,-0.252,-0.154,7258
360,11.999079464988197,-0.253,-0.155,7275
361,12.032410241279832,-0.254,-0.156,7294
362,12.065741017571465,-0.256,-0.157,7311
363,12.0990717938631,-0.257,-0.157,7327
364,12.132402570154733,-0.258,-0.158,7343
365,12.165733346446366,-0.259,-0.158,7363
366,12.199064122738001,-0.259,-0.159,7381
367,12.232394899029634,-0.26,-0.159,7399
368,12.265725675321269,-0.26,-0.16,7417
369,12.299056451612902,-0.261,-0.16,7437
370,12.332387227904537,-0.261,-0.161,7455
371,12.36571800419617,-0.262,-0.161,7473
372,12.399048780487805,-0.262,-0.162,7492
373,12.432379556779438,-0.262,-0.162,7508
374,12.465710333071073,-0.263,-0.162,7526
375,12.499041109362706,-0.263,-0.163,7542
376,12.53237188565434,-0.263,-0.163,7559
377,12.565702661945974,-0.264,-0.163,7575
378,12.599033438237608,-0.264,-0.163,7589
379,12.632364214529241,-0.264,-0.164,7604
380,12.665694990820874,-0.264,-0.164,7619
381,12.69902576711251,-0.264,-0.164,7636
382,12.732356543404142,-0.264,-0.165,7659
383,12.765687319695777,-0.264,-0.166,7679
384,12.79901809598741,-0.263,-0.166,7699
385,12.832348872279045,-0.263,-0.167,7719
386,12.865679648570678,-0.262,-0.167,7739
387,12.899010424862313,-0.262,-0.168,7759
388,12.932341201153946,-0.261,-0.168,7778
389,12.96567197744558,-0.26,-0.169,7801
390,12.999002753737214,-0.26,-0.169,7823
391,13.032333530028849,-0.259,-0.17,7843
392,13.065664306320482,-0.259,-0.17,7863
393,13.098995082612115,-0.259,-0.17,7886
394,13.13232585890375,-0.258,-0.171,7909
395,13.165656635195383,-0.258,-0.171,7930
396,13.198987411487018,-0.257,-0.172,7948
397,13.23231818777865,-0.256,-0.172,7967
398,13.265648964070285,-0.255,-0.172,7985
399,13.298979740361919,-0.255,-0.172,8006
400,13.332310516653553,-0.254,-0.173,8026
401,13.365641292945186,-0.253,-0.173,8048
402,13.398972069236821,-0.253,-0.173,8070
403,13.432302845528454,-0.252,-0.174,8090
404,13.46563362182009,-0.252,-0.174,8110
405,13.498964398111722,-0.251,-0.174,8133
406,13.532295174403357,-0.25,-0.175,8155
407,13.56562595069499,-0.25,-0.175,8179
408,13.598956726986623,-0.249,-0.176,8202
409,13.632287503278258,-0.249,-0.176,8224
410,13.665618279569891,-0.248,-0.176,8246
411,13.698949055861526,-0.247,-0.176,8268
412,13.732279832153159,-0.247,-0.177,8290
